,iata_principal,iata_secundario,descricao_longa,descricao_curta
0,100,100,Fokker 100,Fk100
1,146,141,British Aerospace 146-100,Bae 146-100
2,146,142,British Aerospace 146-200 Passenger,Bae 146-200P
3,146,143,British Aerospace 146-300,Bae 146-300
4,14F,14Y,British Aerospace 146-200 Freighter,Bae 146-200F
5,220,221,Airbus A220-100,Airbus A220-1
6,220,223,Airbus A220-300,Airbus A220-3
7,310,313,Airbus A310-300 Passenger,A310-300
8,31F,31Y,Airbus A310-300 Freighter,A310-300F
9,32S,32X,Airbus A321-200P2F,Airbus A321F
10,32S,32A,Airbus A320-214 Sharklets,A320-214 Shark
11,32S,31N,Airbus A319 Neo,Airbus A319 Neo
12,32S,32N,Airbus A320 Neo,Airbus A320 Neo
13,32S,318,Airbus A318,Airbus A318
14,32S,319,Airbus A319,Airbus A319
15,32S,320,Airbus A320,Airbus A320
16,32S,32Q,Airbus A321 Neo (Xlr),Airbus A321 Neo
17,32S,321,Airbus A321-100/200,Airbus A321
18,330,339,Airbus A330-900Neo,Airbus A330-900
19,330,338,Airbus A330-800Neo,Airbus A330-800
